question,right_answer,bot_response
Which innovations have a total time saved greater than 100 hours and were created by 'Bob Johnson'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Bob Johnson%') AND Jidouka.TotalTimeSaved > 100;,SELECT ImprovementName FROM Jidouka WHERE TotalTimeSaved > 100 AND AuthorId = (SELECT AuthorId FROM Author WHERE AuthorName LIKE LOWER('%Bob Johnson%'));
List all improvements with a launch date before '2022-01-01'.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DateCreate < '2022-01-01';,SELECT ImprovementName FROM Jidouka WHERE DateCreate < '2022-01-01';
Which innovations were carried out by 'Jane Smith' and saved over 50 hours?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Jane Smith%') AND Jidouka.TotalTimeSaved > 50;,SELECT ImprovementName FROM Jidouka WHERE AuthorId = (SELECT AuthorId FROM Author WHERE AuthorName LIKE LOWER('%Jane Smith%')) AND TotalTimeSaved > 50;
Which improvements are linked to tools that require 'technical support'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE LOWER(Tool.ToolDescription) LIKE '%technical support%';,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolDescription LIKE '%technical support%';
Find all innovations in the 'R&D' department that applied more than 8 jobs.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%R&D%') AND Jidouka.TotalJobApplied > 8;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%R&D%') GROUP BY Jidouka.ImprovementName HAVING COUNT(DISTINCT Jidouka.JobId) > 8;
List all improvements with a total time saved greater than 150 hours that were launched before '2021-07-01'.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.TotalTimeSaved > 150 AND Jidouka.DateCreate < '2021-07-01';,SELECT ImprovementName FROM Jidouka WHERE TotalTimeSaved > 150 AND DateCreate < '2021-07-01';
Which group is associated with the department 'Design Center A'?,SELECT GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE DepartmentName LIKE LOWER('%Design Center A%');,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center A%');
Which jidouka innovations saved more than 100 hours?,"SELECT ImprovementName, TotalTimeSaved FROM Jidouka WHERE TotalTimeSaved > 100;",SELECT ImprovementName FROM Jidouka WHERE TotalTimeSaved > 100;
What is the total number of hours saved by all jidouka innovations?,SELECT SUM(TotalTimeSaved) AS TotalSavedHours FROM Jidouka;,SELECT SUM(TotalTimeSaved) FROM Jidouka;
How many innovations were created by 'John Doe'?,SELECT COUNT(*) AS InnovationCount FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');,SELECT COUNT(*) FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');
Which department is associated with innovations created by Hải?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Hải%');,SELECT DepartmentName FROM Department WHERE DepartmentId = (SELECT DepartmentId FROM Jidouka AS Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Hải%'));
What are the innovations with more than 50 total jobs applied?,"SELECT ImprovementName, TotalJobApplied FROM Jidouka WHERE TotalJobApplied > 50;",SELECT ImprovementName FROM Jidouka WHERE TotalJobApplied > 50;
"List all innovations created after January 1, 2023.","SELECT ImprovementName, DateCreate FROM Jidouka WHERE DateCreate > '2023-01-01';",SELECT ImprovementName FROM Jidouka WHERE DateCreate > '2023-01-01';
Which innovations are linked to job 'Quality Check'?,SELECT ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE LOWER('%Quality Check%');,SELECT ImprovementName FROM Jidouka WHERE JobId = (SELECT JobId FROM Job WHERE JobName LIKE LOWER('%Quality Check%'));
What tools were linked to innovations created by Ngọc?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Ngọc%');,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.AuthorId = (SELECT Author.AuthorId FROM Author WHERE Author.AuthorName LIKE LOWER('%Ngọc%'));
List all tools with 'automation' in their description.,SELECT ToolName FROM Tool WHERE LOWER(ToolDescription) LIKE '%automation%';,SELECT ToolName FROM Tool WHERE ToolDescription LIKE '%automation%';
Which authors created innovations that saved more than 1000 hours?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE TotalTimeSaved > 1000;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId GROUP BY Author.AuthorName HAVING TotalTimeSaved > 1000;
List all authors who created more than 3 innovations.,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId GROUP BY Author.AuthorName HAVING COUNT(Jidouka.JidoukaId) > 3;,SELECT AuthorName FROM Author WHERE TotalInnovations > 3;
Which tools are used by innovations created in 2022?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE YEAR(Jidouka.DateCreate) = 2022;,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE YEAR(Jidouka.DateCreate) = 2022;
Find the most used tool across all innovations.,"SELECT Tool.ToolName, COUNT(JidoukaTool.JidoukaId) AS UsageCount FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolName ORDER BY UsageCount DESC LIMIT 1;","SELECT Tool.ToolName, COUNT(JidoukaTool.ToolId) AS UsageCount FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolName ORDER BY UsageCount DESC LIMIT 1;"
Which innovations saved more than 100 hours in 2023?,"SELECT ImprovementName, TotalTimeSaved FROM Jidouka WHERE TotalTimeSaved > 100 AND YEAR(DateCreate) = 2023;",SELECT ImprovementName FROM Jidouka WHERE TotalTimeSaved > 100 AND YEAR(DateCreate) = 2023;
List all departments and the count of innovations they contributed to.,"SELECT Department.DepartmentName, COUNT(Jidouka.JidoukaId) AS InnovationCount FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY Department.DepartmentName;","SELECT DepartmentName, COUNT(Jidouka.JidoukaId) AS InnovationCount FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY DepartmentName;"
Which innovations have descriptions containing 'automation' and were created after 2020?,"SELECT ImprovementName, Description FROM Jidouka WHERE Description LIKE '%automation%' AND YEAR(DateCreate) > 2020;",SELECT ImprovementName FROM Jidouka WHERE Description LIKE '%automation%' AND DateCreate > '2020-01-01';
Which innovations were launched in 2023?,SELECT ImprovementName FROM Jidouka WHERE YEAR(DateCreate) = 2023;,SELECT ImprovementName FROM Jidouka WHERE DateCreate LIKE '%2023-01-01%';
Which departments have saved more than 500 hours through innovations?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE TotalTimeSaved > 500;,SELECT DepartmentName FROM Department WHERE TotalTimeSaved > 500;
What is the most recent innovation created by 'Author A'?,SELECT TOP 1 ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE AuthorName LIKE LOWER('%Author A%') ORDER BY DateCreate DESC;,SELECT ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE AuthorName LIKE LOWER('%Author A%') ORDER BY DateCreate DESC LIMIT 1;
List all authors who created innovations in 2022.,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE YEAR(DateCreate) = 2022;,SELECT AuthorName FROM Author WHERE YEAR(DateCreate) = 2022;
Which departments had innovations with more than 10 jobs applied?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE TotalJobApplied > 10;,SELECT DepartmentName FROM Department WHERE TotalJobApplied > 10;
Which teams created innovations in January 2024?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE MONTH(DateCreate) = 1 AND YEAR(DateCreate) = 2024;,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE MONTH(Jidouka.DateCreate) = 1 AND YEAR(Jidouka.DateCreate) = 2024;
List all innovations launched in the last 6 months grouped by department.,"SELECT Department.DepartmentName, Jidouka.ImprovementName, Jidouka.DateCreate FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.DateCreate >= DATE_SUB(CURRENT_DATE, INTERVAL 6 MONTH) ORDER BY Department.DepartmentName;","SELECT DepartmentName, Jidouka.ImprovementName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.DateCreate >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH) GROUP BY DepartmentName;"
Which department has innovations involving the maximum number of tools?,"SELECT Department.DepartmentName, COUNT(DISTINCT JidoukaTool.ToolId) AS ToolCount FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Department.DepartmentName ORDER BY ToolCount DESC LIMIT 1;",SELECT DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY DepartmentName ORDER BY COUNT(JidoukaTool.ToolId) DESC LIMIT 1;
Find the oldest innovation for each department.,"SELECT Department.DepartmentName, MIN(Jidouka.DateCreate) AS OldestInnovationDate FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY Department.DepartmentName;","SELECT DepartmentName, Jidouka.ImprovementName, Jidouka.DateCreate FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId ORDER BY Jidouka.DateCreate ASC LIMIT 1;"
What are the top 5 innovations by total jobs applied?,SELECT ImprovementName FROM Jidouka ORDER BY TotalJobApplied DESC LIMIT 5;,"SELECT ImprovementName, TotalJobApplied FROM Jidouka ORDER BY TotalJobApplied DESC LIMIT 5;"
Which tools are used in 'Innovation X'?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = (SELECT JidoukaId FROM Jidouka WHERE ImprovementName LIKE LOWER('%Innovation X%'));,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = (SELECT Jidouka.JidoukaId FROM Jidouka WHERE Jidouka.ImprovementName LIKE LOWER('%Innovation X%'));
Which groups worked on improvements created before 2020?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE YEAR(DateCreate) < 2020;,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.DateCreate < '2020-01-01';
Which tools have been used in at least 3 innovations?,SELECT ToolName FROM Tool WHERE ToolId IN (SELECT ToolId FROM JidoukaTool GROUP BY ToolId HAVING COUNT(DISTINCT JidoukaId) >= 3);,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolName HAVING COUNT(DISTINCT JidoukaId) >= 3;
Which departments had innovations launched in the last six months?,"SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE DateCreate >= DATE_ADD(CURDATE(), INTERVAL -6 MONTH);","SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.DateCreate >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH);"
Find the total number of tools used by innovations created after 2023.,SELECT COUNT(DISTINCT JidoukaTool.ToolId) AS ToolCount FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE Jidouka.DateCreate > '2023-01-01';,SELECT COUNT(DISTINCT Tool.ToolName) FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DateCreate > '2023-01-01';
Which departments have more than 5 innovations that saved over 100 hours each?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.TotalTimeSaved > 100 GROUP BY Department.DepartmentName HAVING COUNT(Jidouka.JidoukaId) > 5;,SELECT DepartmentName FROM Department WHERE TotalTimeSaved > 100 GROUP BY DepartmentName HAVING COUNT(*) > 5;
List the top 5 authors with the most number of innovations involving tools.,"SELECT Author.AuthorName, COUNT(DISTINCT Jidouka.JidoukaId) AS InnovationCount FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Author.AuthorName ORDER BY InnovationCount DESC LIMIT 5;","SELECT Author.AuthorName, COUNT(Jidouka.JidoukaId) AS InnovationCount FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId GROUP BY Author.AuthorName ORDER BY InnovationCount DESC LIMIT 5;"
Find innovations associated with more than 3 different jobs.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId GROUP BY JidoukaTool.JidoukaId HAVING COUNT(DISTINCT Jidouka.JobId) > 3);,SELECT ImprovementName FROM Jidouka WHERE TotalJobApplied > 3;
List all tools used in innovations that saved less than 10 hours.,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE Jidouka.TotalTimeSaved < 10;,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId IN (SELECT Jidouka.JidoukaId FROM Jidouka WHERE Jidouka.TotalTimeSaved < 10);
Find authors whose innovations involve the same tool used by at least 2 other authors.,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE JidoukaTool.ToolId IN (SELECT ToolId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId GROUP BY ToolId HAVING COUNT(DISTINCT Jidouka.AuthorId) >= 3);,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId GROUP BY Author.AuthorName HAVING COUNT(DISTINCT Jidouka.JidoukaId) >= 3;
Identify the department with the highest average time saved per innovation.,"SELECT Department.DepartmentName, AVG(Jidouka.TotalTimeSaved) AS AvgTimeSaved FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY Department.DepartmentName ORDER BY AvgTimeSaved DESC LIMIT 1;","SELECT DepartmentName, AVG(TotalTimeSaved) AS AvgTimeSaved FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY DepartmentName ORDER BY AvgTimeSaved DESC LIMIT 1;"
List all tools used in innovations by 'Team Alpha'.,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDCName LIKE LOWER('%Team Alpha%');,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.GroupDCId = (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Alpha%'));
Which innovations were created using 'Tool X'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON Tool.ToolId = JidoukaTool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool X%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool X%');
Which innovations were launched in 2023 and used more than two tools?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(DateCreate) = 2023 AND JidoukaId IN (SELECT JidoukaId FROM JidoukaTool GROUP BY JidoukaId HAVING COUNT(ToolId) > 2);,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Jidouka.ImprovementName HAVING COUNT(JidoukaTool.ToolId) > 2 AND YEAR(Jidouka.DateCreate) = 2023;
What are the innovations created by authors in 'Design Center 1'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE DepartmentName LIKE LOWER('%Design Center 1%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Design Center 1%');
Which groups have launched more than five innovations?,SELECT GroupDC.GroupDCName FROM GroupDC WHERE GroupDCId IN (SELECT GroupDCId FROM Jidouka GROUP BY GroupDCId HAVING COUNT(*) > 5);,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId GROUP BY GroupDC.GroupDCName HAVING COUNT(Jidouka.JidoukaId) > 5;
Which jobs are linked to the innovation named 'Efficiency Boost'?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.ImprovementName LIKE LOWER('%Efficiency Boost%');,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.ImprovementName LIKE '%Efficiency Boost%';
Find the detail document links of innovations related to 'Tool A'.,SELECT Jidouka.DetailDocument FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON Tool.ToolId = JidoukaTool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool A%');,SELECT Jidouka.DetailDocument FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool A%');
Find the total number of innovations created by 'John Doe'.,SELECT COUNT(*) FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');,SELECT COUNT(*) FROM Jidouka WHERE AuthorId = (SELECT AuthorId FROM Author WHERE AuthorName LIKE LOWER('%John Doe%'));
Which innovations were created by authors from 'Design Center Alpha' and saved more than 500 hours?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center Alpha%') AND Jidouka.TotalTimeSaved > 500;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.DepartmentName LIKE LOWER('%Design Center Alpha%') AND Jidouka.TotalTimeSaved > 500;
